132333333 tensor([8896,   18, 8876], device='cuda:6') 4 6
132333333 tensor([8896,   18, 8876], device='cuda:5') 4 5
132333333 tensor([8896,   18, 8876], device='cuda:4') 4 4
132333333 tensor([8768,   11, 8747], device='cuda:0') 4 0
132333333 tensor([8768,   11, 8747], device='cuda:2') 4 2
132333333 tensor([8768,   11, 8747], device='cuda:3') 4 3
132333333 tensor([8768,   11, 8747], device='cuda:1') 4 1
132333333 tensor([8832,   10, 8803], device='cuda:2') 4 2
132333333 tensor([8832,   10, 8803], device='cuda:0') 4 0
132333333 tensor([9024,   11, 8982], device='cuda:5') 4 5
132333333 tensor([8832,   10, 8803], device='cuda:3') 4 3
132333333 tensor([8832,   10, 8803], device='cuda:1') 4 1
132333333 tensor([9024,   11, 8982], device='cuda:7') 4 7
132333333 tensor([9024,   11, 8982], device='cuda:6') 4 6
132333333 tensor([9024,   11, 8982], device='cuda:4') 4 4
132333333 tensor([9024,    9, 8963], device='cuda:0') 4 0
132333333 tensor([8896,   12, 8881], device='cuda:5') 4 5
132333333 tensor([8896,   12, 8881], device='cuda:4') 4 4
132333333 tensor([9024,    9, 8963], device='cuda:1') 4 1
132333333 tensor([8896,   12, 8881], device='cuda:6') 4 6
132333333 tensor([9024,    9, 8963], device='cuda:2') 4 2
132333333 tensor([8896,   12, 8881], device='cuda:7') 4 7
132333333 tensor([9024,    9, 8963], device='cuda:3') 4 3
132333333 tensor([8896,   11, 8833], device='cuda:7') 4 7
132333333 tensor([8896,   11, 8833], device='cuda:6') 4 6
132333333 tensor([8960,   11, 8936], device='cuda:0') 4 0
132333333 tensor([8960,   11, 8936], device='cuda:2') 4 2
132333333 tensor([8960,   11, 8936], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8833], device='cuda:5') 4 5
132333333 tensor([8896,   11, 8833], device='cuda:4') 4 4
132333333 tensor([8960,   11, 8936], device='cuda:3') 4 3
132333333 tensor([8832,   15, 8787], device='cuda:7') 4 7
132333333 tensor([8832,   15, 8787], device='cuda:5') 4 5
132333333 tensor([8832,   15, 8787], device='cuda:4') 4 4
132333333 tensor([8832,   15, 8787], device='cuda:6') 4 6
132333333 tensor([8576,   10, 8569], device='cuda:2') 4 2
132333333 tensor([8576,   10, 8569], device='cuda:0') 4 0
132333333 tensor([8576,   10, 8569], device='cuda:1') 4 1
132333333 tensor([8576,   10, 8569], device='cuda:3') 4 3
132333333 tensor([8704,   11, 8698], device='cuda:2') 4 2
132333333 tensor([8704,   11, 8698], device='cuda:0') 4 0
132333333 tensor([8704,   11, 8698], device='cuda:1') 4 1
132333333 tensor([8576,   10, 8529], device='cuda:6') 4 6
132333333 tensor([8704,   11, 8698], device='cuda:3') 4 3
132333333 tensor([8576,   10, 8529], device='cuda:7') 4 7
132333333 tensor([8576,   10, 8529], device='cuda:5') 4 5
132333333 tensor([8576,   10, 8529], device='cuda:4') 4 4
132333333 tensor([9024,   14, 8972], device='cuda:3') 4 3
132333333 tensor([9024,   14, 8972], device='cuda:1') 4 1
132333333 tensor([9024,   14, 8972], device='cuda:2') 4 2
132333333 tensor([9024,   14, 8972], device='cuda:0') 4 0
132333333 tensor([8960,   12, 8945], device='cuda:6') 4 6
132333333 tensor([8960,   12, 8945], device='cuda:5') 4 5
132333333 tensor([8960,   12, 8945], device='cuda:7') 4 7
132333333 tensor([8960,   12, 8945], device='cuda:4') 4 4
132333333 tensor([8960,   12, 8941], device='cuda:5') 4 5
132333333 tensor([8896,   14, 8853], device='cuda:2') 4 2
132333333 tensor([8960,   12, 8941], device='cuda:7') 4 7
132333333 tensor([8960,   12, 8941], device='cuda:6') 4 6
132333333 tensor([8896,   14, 8853], device='cuda:0') 4 0
132333333 tensor([8896,   14, 8853], device='cuda:1') 4 1
132333333 tensor([8896,   14, 8853], device='cuda:3') 4 3
132333333 tensor([8960,   12, 8941], device='cuda:4') 4 4
132333333 tensor([8896,   12, 8833], device='cuda:2') 4 2
132333333 tensor([8896,   12, 8833], device='cuda:0') 4 0
132333333 tensor([8896,   12, 8833], device='cuda:1') 4 1
132333333 tensor([8896,   12, 8833], device='cuda:3') 4 3
132333333 tensor([9024,   13, 8986], device='cuda:7') 4 7
132333333 tensor([9024,   13, 8986], device='cuda:5') 4 5
132333333 tensor([9024,   13, 8986], device='cuda:4') 4 4
132333333 tensor([9024,   13, 8986], device='cuda:6') 4 6
132333333 tensor([8960,   16, 8919], device='cuda:2') 4 2
132333333 tensor([8960,   16, 8919], device='cuda:1') 4 1
132333333 tensor([8896,   10, 8887], device='cuda:4') 4 4
132333333 tensor([8896,   10, 8887], device='cuda:5') 4 5
132333333 tensor([8960,   16, 8919], device='cuda:3') 4 3
132333333 tensor([8960,   16, 8919], device='cuda:0') 4 0
132333333 tensor([8896,   10, 8887], device='cuda:6') 4 6
132333333 tensor([8896,   10, 8887], device='cuda:7') 4 7
132333333 tensor([8896,    8, 8855], device='cuda:6') 4 6
132333333 tensor([8896,    8, 8855], device='cuda:5') 4 5
132333333 tensor([8896,    8, 8855], device='cuda:4') 4 4
132333333 tensor([8896,    8, 8855], device='cuda:7') 4 7
132333333 tensor([8896,   11, 8841], device='cuda:0') 4 0
132333333 tensor([8896,   11, 8841], device='cuda:3') 4 3
132333333 tensor([8896,   11, 8841], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8841], device='cuda:2') 4 2
132333333 tensor([8832,   11, 8826], device='cuda:5') 4 5
132333333 tensor([8832,   11, 8826], device='cuda:7') 4 7
132333333 tensor([8832,   11, 8826], device='cuda:6') 4 6
132333333 tensor([9024,   12, 8991], device='cuda:0') 4 0
132333333 tensor([9024,   12, 8991], device='cuda:3') 4 3
132333333 tensor([9024,   12, 8991], device='cuda:2') 4 2
132333333 tensor([8832,   11, 8826], device='cuda:4') 4 4
132333333 tensor([9024,   12, 8991], device='cuda:1') 4 1
132333333 tensor([8960,    8, 8896], device='cuda:7') 4 7
132333333 tensor([8960,    8, 8896], device='cuda:5') 4 5
132333333 tensor([8960,    8, 8896], device='cuda:4') 4 4
132333333 tensor([8960,    8, 8896], device='cuda:6') 4 6
132333333 tensor([8576,   14, 8557], device='cuda:0') 4 0
132333333 tensor([8576,   14, 8557], device='cuda:3') 4 3
132333333 tensor([8576,   14, 8557], device='cuda:2') 4 2
132333333 tensor([8576,   14, 8557], device='cuda:1') 4 1
132333333 tensor([8960,    9, 8921], device='cuda:5') 4 5
132333333 tensor([8896,   14, 8852], device='cuda:2') 4 2
132333333 tensor([8896,   14, 8852], device='cuda:3') 4 3
132333333 tensor([8896,   14, 8852], device='cuda:1') 4 1
132333333 tensor([8960,    9, 8921], device='cuda:7') 4 7
132333333 tensor([8896,   14, 8852], device='cuda:0') 4 0
132333333 tensor([8960,    9, 8921], device='cuda:4') 4 4
132333333 tensor([8960,    9, 8921], device='cuda:6') 4 6
132333333 tensor([8960,   10, 8913], device='cuda:1') 4 1
132333333 tensor([8512,   11, 8493], device='cuda:4') 4 4
132333333 tensor([8512,   11, 8493], device='cuda:7') 4 7
132333333 tensor([8960,   10, 8913], device='cuda:2') 4 2
132333333 tensor([8960,   10, 8913], device='cuda:3') 4 3
132333333 tensor([8512,   11, 8493], device='cuda:5') 4 5
132333333 tensor([8512,   11, 8493], device='cuda:6') 4 6
132333333 tensor([8960,   10, 8913], device='cuda:0') 4 0
132333333 tensor([8896,   11, 8872], device='cuda:0') 4 0
132333333 tensor([8832,   14, 8768], device='cuda:7') 4 7
132333333 tensor([8896,   11, 8872], device='cuda:2') 4 2
132333333 tensor([8832,   14, 8768], device='cuda:5') 4 5
132333333 tensor([8832,   14, 8768], device='cuda:4') 4 4
132333333 tensor([8832,   14, 8768], device='cuda:6') 4 6
132333333 tensor([8896,   11, 8872], device='cuda:3') 4 3
132333333 tensor([8896,   11, 8872], device='cuda:1') 4 1
132333333 tensor([9024,    8, 8964], device='cuda:1') 4 1
132333333 tensor([9024,    8, 8964], device='cuda:0') 4 0
132333333 tensor([9024,    8, 8964], device='cuda:2') 4 2
132333333 tensor([9024,    8, 8964], device='cuda:3') 4 3
132333333 tensor([8768,   13, 8740], device='cuda:7') 4 7
132333333 tensor([8768,   13, 8740], device='cuda:6') 4 6
132333333 tensor([8768,   13, 8740], device='cuda:5') 4 5
132333333 tensor([8768,   13, 8740], device='cuda:4') 4 4
132333333 tensor([8960,   11, 8943], device='cuda:5') 4 5
132333333 tensor([8960,   12, 8923], device='cuda:0') 4 0
132333333 tensor([8960,   11, 8943], device='cuda:7') 4 7
132333333 tensor([8960,   11, 8943], device='cuda:6') 4 6
132333333 tensor([8960,   12, 8923], device='cuda:3') 4 3
132333333 tensor([8960,   12, 8923], device='cuda:1') 4 1
132333333 tensor([8960,   12, 8923], device='cuda:2') 4 2
132333333 tensor([8960,   11, 8943], device='cuda:4') 4 4
132333333 tensor([9024,   13, 8982], device='cuda:5') 4 5
132333333 tensor([9024,   13, 8982], device='cuda:7') 4 7
132333333 tensor([8960,   10, 8915], device='cuda:0') 4 0
132333333 tensor([8960,   10, 8915], device='cuda:3') 4 3
132333333 tensor([8960,   10, 8915], device='cuda:1') 4 1
132333333 tensor([8960,   10, 8915], device='cuda:2') 4 2
132333333 tensor([9024,   13, 8982], device='cuda:6') 4 6
132333333 tensor([9024,   13, 8982], device='cuda:4') 4 4
132333333 tensor([8960,   10, 8923], device='cuda:3') 4 3
132333333 tensor([8960,   10, 8923], device='cuda:0') 4 0
132333333 tensor([9024,   13, 8966], device='cuda:5') 4 5
132333333 tensor([8960,   10, 8923], device='cuda:1') 4 1
132333333 tensor([9024,   13, 8966], device='cuda:7') 4 7
132333333 tensor([8960,   10, 8923], device='cuda:2') 4 2
132333333 tensor([9024,   13, 8966], device='cuda:4') 4 4
132333333 tensor([9024,   13, 8966], device='cuda:6') 4 6
132333333 tensor([8896,   12, 8854], device='cuda:7') 4 7
132333333 tensor([8896,   12, 8854], device='cuda:5') 4 5
132333333 tensor([9024,   12, 8982], device='cuda:2') 4 2
